SITECODE,DRNAREA_mi2
MINE8886_BO,0.07
MINE8887_B,0.05
MINE8887_B,0.05
MINE8887_B,0.05
MINE8887_B,0.05
MINE9108_B,0.1
MINE9108_B,0.1
MINE9108_B,0.1
MINE9108_B,0.1
MIUV2817,3.54
MIUV3337,0.07
MIUV3339,0.14
MIUV3340,0.11
MNUB10,10.92
MNUB10,10.92
MNUB10,10.92
MNUB10,10.92
MNUB10,10.92
MNUB119,0.4
MNUB119,0.4
MNUB119,0.4
MNUB119,0.39
MNUB119,0.4
MNUB119,0.4
MNUB17,0.42
MNUB17,0.43
MNUB17,0.42
MNUB17,0.43
MNUB17,0.43
MNUB17,0.43
MNUB26,0.11
MNUB26,0.11
MNUB26,0.11
MNUB26,0.11
MNUB26,0.11
MNUB26,0.11
MNUB27,4.48
MNUB27,4.48
MNUB27,4.48
MNUB27,4.48
MNUB27,4.48
MNUB4,0.28
MNUB4,0.27
MNUB4,0.27
MNUB4,0.27
MNUB4,0.27
MNUB4,0.27
MNUB44,0.13
MNUB44,0.13
MNUB44,0.14
MNUB44,0.13
MNUB44,0.13
MNUB44,0.13
MNUB45,460.02
MNUB45,460.03
MNUB45,460.02
MNUB45,460.02
MNUB45,460.02
MNUB45,460.02
MNUB6,9.5
MNUB6,9.5
MNUB6,9.5
MNUB6,9.5
MNUB6,9.5
MNUB6,9.5
MNUB8,1.93
MNUB8,1.91
MNUB8,1.93
MNUB8,1.91
MNUB8,1.91
MNUB8,1.91
MNUV2065,15.17
MNUV3334,6.62
MNUV3334,6.55
MNUV3335,16.14
MONE313_V,10.7
MONE313_V,10.7
MONE313_V,10.7
MONE313_V,10.7
MONE349_V,8.7
MONE350_V,5.17
MONE350_V,5.17
MONE350_V,5.17
MONE350_V,5.17
MONE357_V,8.41
MONE357_V,8.41
MONE357_V,8.41
MONE357_V,8.41
MONE359_V,6.95
MONE359_V,6.95
MONE359_V,6.95
MONE359_V,6.95
MONE363_V,30
MONE7985_B,0.95
MONE7985_B,0.95
MONE7985_B,0.95
MONE7985_B,0.95
MONE7991_B,0.0959
MONE7991_B,0.0959
MONE7991_B,0.0959
MONE9103_B,396
MONE9103_B,396
MONE9103_B,396
MONE9103_B,396
MSSE5683_B,106
MSSE5683_B,106
MSSE5683_B,106
MSSE8726_B,0.0175
MSSE8726_B,0.0175
MSSE8726_B,0.0175
MSSE8727_B,0.12
MSSE8727_B,0.12
MSSE8727_B,0.12
MSSE8803_B,8.33
MSSE8803_B,8.33
MSSE8803_B,8.33
MSSE8806_B,1.35
MSSE8806_B,1.35
MSSE8806_B,1.35
MSSE8818_B,0.0205
MSSE8818_B,0.0205
MSSE8818_B,0.0205
MSSE8847_B,0.011
MSSE8847_B,0.011
MSSE8847_B,0.011
MSSE8848_B,0.38
MSSE8848_B,0.38
MSSE8848_B,0.38
MSSE9550_B,0.02
MSSE9550_B,0.02
MSSE9550_B,0.02
MSSE9555_V,0.12
MSSE9555_V,0.12
MSSE9555_V,0.12
MSSE9555_V,0.12
MSSE9556_V,0.0138
MSSE9556_V,0.0138
MSSE9556_V,0.0138
MSSE9556_V,0.0138
MSSE9557_V,0.12
MSSE9557_V,0.12
MSSE9557_V,0.12
MSSE9557_V,0.12
MTNB14,0.27
MTNB14,0.4
MTNB14,0.26
MTNB14,0.21
MTNB14,0.12
MTNB14,0.13
MTNB15,0.27
MTNB15,0.17
MTNB15,0.03
MTNB15,0.03
MTNB15,0.02
MTNB15,0.02
MTNB19,0.27
MTNB19,0.26
MTNB19,0.04
MTNB19,0.04
MTNB19,0.09
